Ticker,Name,Sector,Industry,FIGI
SDRL UN Equity,Seadrill Ltd,Energy,Energy Equipment & Services,BBG00LBLD3K1
AA UN Equity,Alcoa Corp,Materials,Metals & Mining,BBG00B3T3HK5
INO UW Equity,Inovio Pharmaceuticals Inc,Health Care,Biotechnology,BBG000BK7763
AXP UN Equity,American Express Co,Financials,Consumer Finance,BBG000BCR153
VZ UN Equity,Verizon Communications Inc,Communication Services,Diversified Telecommunication,BBG000HS79Q4
SPWH UW Equity,Sportsman's Warehouse Holdings Inc,Consumer Discretionary,Specialty Retail,BBG006475XK6
BA UN Equity,Boeing Co/The,Industrials,Aerospace & Defense,BBG000BCSV38
SABR UW Equity,Sabre Corp,Information Technology,IT Services,BBG005WQVZ21
PEP UW Equity,PepsiCo Inc,Consumer Staples,Beverages,BBG000DH7TN1
CAT UN Equity,Caterpillar Inc,Industrials,Machinery,BBG000BF0LJ6
JPM UN Equity,JPMorgan Chase & Co,Financials,Banks,BBG000DMBZW1
CVX UN Equity,Chevron Corp,Energy,"Oil, Gas & Consumable Fuels",BBG000K4NHJ5
APYX UW Equity,Apyx Medical Corp,Health Care,Health Care Equipment & Suppli,BBG000F4CKQ8
KO UN Equity,Coca-Cola Co/The,Consumer Staples,Beverages,BBG000BMX4N8
DIS UN Equity,Walt Disney Co/The,Communication Services,Entertainment,BBG000BH4SB1
AFMD UQ Equity,Affimed NV,Health Care,Biotechnology,BBG006R5STM7
XOM UN Equity,Exxon Mobil Corp,Energy,"Oil, Gas & Consumable Fuels",BBG000GZQBJ1
GE UN Equity,General Electric Co,Industrials,Industrial Conglomerates,BBG000BK6PH2
HPQ UN Equity,HP Inc,Information Technology,"Technology Hardware, Storage &",BBG000KHWXF5
FC UN Equity,Franklin Covey Co,Industrials,Professional Services,BBG000FCZQJ0
HD UN Equity,Home Depot Inc/The,Consumer Discretionary,Specialty Retail,BBG000BKZDM1
IBM UN Equity,International Business Machines Corp,Information Technology,IT Services,BBG000BLNQ16
GO UW Equity,Grocery Outlet Holding Corp,Consumer Staples,Food & Staples Retailing,BBG00P4R30S6
JNJ UN Equity,Johnson & Johnson,Health Care,Pharmaceuticals,BBG000BMHZY5
